CalfID,Pen,Block,Season_x,Phenotype,Growth,Milk,MBW,ADG,ODMI,PDMI,RFI,GF,PADG,RADG,DamID,Sire,Genotype,Sex,Day,Timepoint,Season_y,Year,Weight (kg),ConA Proliferation Index,LPS Proliferation Index,PWM Proliferation Index,Plasma Cortisol (ng/ml),IgG1 (ng/ml),IgG2 (ng/ml),IgM (ng/ml),IgG1 to IgG2,Total IgG (ng/ml),WBC,NEU,LYM,NLR,MONO,EOS,BAS,NEU%,LYM%,MONO%,EOS%,BAS%,RBC,HGB,HCT,MCV,MCH,MCHC,RDW%,PLT,MPV,IFNy,IL1a,IL1B,IL4,IL6,IL10,IL17A,MIP1alpha,IL36R,IP10,MCP1,MIP1b,TNFa,VEGFa,BHV1,BHV1_Log,BVDV1,BVDV1_Log,BRSV,BRSV_Log
2505,4,2304,Fall,HH,H,H,91.64439358,1.487012987,14.12571429,13.5130715,0.612642781,0.105269932,1.134405358,0.352607629,9598,Magnitude,HH,S,Brand,1,Fall,2022,117,0.7919863597612957,0.9844868735083533,.,11.32,8.964923818,4.466191744,1.953851196,2.007285923190315,13.431115562,14.01,1.37,11.62,0.1179001721170396,0.82,0.18,0.02,9.8,82.9,5.9,1.3,0.1,13.02,14.2,40,30.7,10.9,35.5,23.4,676,5.1,0.59,2.57,0.001,21.59,2.11,78.8,0.46,28.25,90.97,1117.51,439.25,62.07,163.38,48.05,<4,0,32,5,.,.
2505,4,2304,Fall,HH,H,H,91.64439358,1.487012987,14.12571429,13.5130715,0.612642781,0.105269932,1.134405358,0.352607629,9598,Magnitude,HH,S,Wean,2,Fall,2022,171,5.084919472913616,1.266079295154185,1.0006540222367561,15.43,10.118025722999999,7.387527895,2.013404544,1.3696091394589582,17.505553618,14.21,3.69,9.63,0.38317757009345793,0.66,0.11,0.12,26,67.8,4.7,0.7,0.8,10.75,12.8,36,33.4,11.9,35.5,22.9,590,4.8,4.63,2.31,0.001,23.07,0.001,96.43,0.46,8.93,188.23,1326.98,495.88,60.32,87.45,46.01,<4,0,256,8,.,.
2505,4,2304,Fall,HH,H,H,91.64439358,1.487012987,14.12571429,13.5130715,0.612642781,0.105269932,1.134405358,0.352607629,9598,Magnitude,HH,S,14DPW,3,Fall,2022,207,1.5221162185602772,0.7169947191550647,4.400758533501896,32.58,10.130297756,8.516076691,3.018278386,1.1895498506613906,18.646374447,10.84,1.1,8.89,0.12373453318335208,0.49,0.21,0.15,10.1,82,4.6,1.9,1.4,10.77,12.8,35.7,33.1,11.9,36,22.4,93,4.9,16.52,18.37,0.001,20.06,0.001,206.74,0.96,81.72,230.21,2688.91,909.16,73.63,1251.11,58.45,<4,0,256,8,.,.
2505,4,2304,Fall,HH,H,H,91.64439358,1.487012987,14.12571429,13.5130715,0.612642781,0.105269932,1.134405358,0.352607629,9598,Magnitude,HH,S,60DPW,4,Fall,2022,250.65,3.6545454545454543,0.9397136397889978,1.0555996822875298,30.11,10.21672217,8.008647194,2.370384979,1.275711355802297,18.225369364000002,14.97,2.67,10.95,0.24383561643835616,0.87,0.37,0.11,17.9,73.1,5.9,2.4,0.7,10.3,12.5,34.7,33.7,12.1,36.1,21.9,221,5.1,9.14,1.92,0.001,20.06,0.001,67.91,0.001,20.16,196.4,1928.03,434.32,72.77,153.97,44.34,<4,0,64,6,.,.
2505,4,2304,Fall,HH,H,H,91.64439358,1.487012987,14.12571429,13.5130715,0.612642781,0.105269932,1.134405358,0.352607629,9598,Magnitude,HH,S,28DF,5,Fall,2022,283.95,6.185358255451714,5.046218487394958,4.684035476718403,11.32,9.257566932,9.253401344,2.016418443,1.0004501683051605,18.510968276,3.62,0.7,2.49,0.2811244979919678,0.34,0.08,0.01,19.3,68.8,9.3,2.4,0.2,3.34,4.1,11.7,35.1,12.4,35.3,21.6,116,6.3,5.47,4.62,0.001,9.3,0.001,115.25,5.51,44.36,58.7,1424.8,395.44,169.95,265.95,58.71,<4,0,128,7,.,.
2510,3,2304,Fall,HH,H,H,94.57780759,1.168831169,14.16901408,13.56621089,0.602803196,0.082492061,1.143450954,0.025380215,5672,Regiment,HH,S,Brand,1,Fall,2022,130.5,0.8141191709844559,1.0347063310450038,0.8388011340623732,.,11.815501073,6.109040386,3.483584892,1.9341009923714718,17.924541459,14.16,3.43,9.57,0.35841170323928945,0.95,0.14,0.07,24.3,67.6,6.7,0.9,0.5,12.5,14.3,40,32,11.5,35.8,21.7,678,4.9,4.17,1.09,0.001,4.25,12.9,73.93,1.2,71.02,108.04,1718.53,676.55,65.77,58.41,164.89,32,5,128,7,.,.
2510,3,2304,Fall,HH,H,H,94.57780759,1.168831169,14.16901408,13.56621089,0.602803196,0.082492061,1.143450954,0.025380215,5672,Regiment,HH,S,Wean,2,Fall,2022,175.5,0.5928084451286563,1.869902912621359,0.7042901610502098,20.55,10.650013813,11.278466762,3.686917802,0.9442785121185605,21.928480575000002,10.65,2.64,7.38,0.35772357723577236,0.42,0.15,0.06,24.8,69.3,3.9,1.4,0.6,10.42,12.1,35.4,34,11.6,34.1,23.8,598,4.9,1.87,1.51,112.74,28.62,0.001,62.11,0.33,38.26,121.66,831.21,572.48,148.14,144.54,111.79,<4,0,256,8,.,.
2510,3,2304,Fall,HH,H,H,94.57780759,1.168831169,14.16901408,13.56621089,0.602803196,0.082492061,1.143450954,0.025380215,5672,Regiment,HH,S,14DPW,3,Fall,2022,193.5,1.0163057324840763,0.9332018733053982,0.8042249730893432,29.17,9.948125925000001,8.567408268,3.93960183,1.1611593160742788,18.515534193,9.5,2.92,6.19,0.4717285945072697,0.22,0.13,0.04,30.7,65.2,2.4,1.3,0.4,9.37,11.2,32.3,34.5,11.9,34.6,23.3,668,5.1,4.24,5.08,161.55,47.41,21.45,79.96,3.52,79.39,70.05,624.81,476.06,222.76,344.45,118.52,8,3,128,7,.,.
2510,3,2304,Fall,HH,H,H,94.57780759,1.168831169,14.16901408,13.56621089,0.602803196,0.082492061,1.143450954,0.025380215,5672,Regiment,HH,S,60DPW,4,Fall,2022,230.85,0.8164464023494861,1.121641791044776,0.5764774044032445,27.400000000000002,11.219040846999999,10.61636743,4.860666327,1.0567683269229122,21.835408277,10.31,3.37,6.23,0.5409309791332263,0.39,0.26,0.06,32.7,60.5,3.8,2.5,0.5,9.35,12.3,34,36.4,13.2,36.1,23.5,484,4.9,2.24,5.98,246.21,41.96,4.29,52.59,2.84,71.63,103.08,586.06,501.98,102.33,395.04,89.92,<4,0,256,8,.,.
2510,3,2304,Fall,HH,H,H,94.57780759,1.168831169,14.16901408,13.56621089,0.602803196,0.082492061,1.143450954,0.025380215,5672,Regiment,HH,S,28DF,5,Fall,2022,294.75,2.667436934334681,7.151588258946521,1.2348636061210911,13.61,8.04005098,7.901582473,3.896337891,1.0175241487984403,15.941633453000001,7.84,2.94,3.56,0.8258426966292135,0.99,0.34,0.01,37.5,45.4,12.6,4.4,0.1,6.85,9.4,27,39.4,13.8,34.9,24.8,437,6.3,1.2,8.89,0.001,18.48,13.97,179.81,3.07,89.95,90.25,564.39,727.27,121.34,413.4,126.29,<4,0,256,8,.,.
2517,4,2304,Fall,HH,H,H,105.8812806,1.253246753,15.80714286,15.08914983,0.717993029,0.079283572,1.183653437,0.069593316,9573,GrowthFund,HH,S,Brand,1,Fall,2022,155.25,0.5557817589576548,1.0801026225769668,.,5.3,10.663112002,2.7438883620000003,1.158799202,3.886131866614185,13.407000364,10.58,1.53,8.33,0.1836734693877551,0.6,0.11,0.01,14.5,78.7,5.7,1,0.1,11.06,12.4,35.6,32.2,11.2,34.9,25.1,551,4.8,4.46,0.001,0.001,4.25,15.04,56.31,0.19,16.97,69.2,1005.75,398.69,78.51,87.45,39.24,4,2,64,6,.,.
